i_user_id,i_username,i_display_color,i_badge_names,i_badge_titles,i_badge_versions,i_user_status,j_streamer,k_emote_name,t_timestamp,t_time_text,t_seconds,vod_id,match_title
249996571,mulespace1,,predictions,Predicted Blue (1),blue-1,,esl_dota2,:(,2021-12-17T20:14:00.753+05:30,38:47,2327,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
13735673,chit91,#008000,predictions,Predicted Pink (2),pink-2,,esl_dota2,evoHype,2021-12-17T20:14:17.717+05:30,39:04,2344,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
13735673,chit91,#008000,predictions,Predicted Pink (2),pink-2,,esl_dota2,PopCorn,2021-12-17T20:14:17.717+05:30,39:04,2344,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
13735673,chit91,#008000,predictions,Predicted Pink (2),pink-2,,esl_dota2,lilnic3Pango,2021-12-17T20:16:22.114+05:30,41:08,2468,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
173800575,zeratul_legacy,,"","","",,esl_dota2,LUL,2021-12-17T20:18:59.717+05:30,43:46,2626,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
446290735,grief_counsellor,#00B5A9,"","","",,esl_dota2,griefc1BAZED,2021-12-17T20:20:11.142+05:30,44:57,2697,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
702417577,mcknight322,,"","","",,esl_dota2,ResidentSleeper,2021-12-17T20:22:58.833+05:30,47:45,2865,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
144733609,taxation_is__theft,#AD9900,premium,Prime Gaming,1,,esl_dota2,EleGiggle,2021-12-17T20:48:58.032+05:30,1:13:44,4424,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
733171731,dumbbuttbeautiful,#FF69B4,"","","",,esl_dota2,LUL,2021-12-17T20:50:17.015+05:30,1:15:03,4503,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
46997545,shevek__,#9ACD32,"","","",,esl_dota2,OhMyDog,2021-12-17T20:53:32.281+05:30,1:18:18,4698,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
600020552,jongbon_,#FF0000,"","","",,esl_dota2,FrankerZ,2021-12-17T21:04:39.695+05:30,1:29:25,5365,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
455414411,malqnoops,#5F9EA0,premium,Prime Gaming,1,,esl_dota2,lukiluRoll,2021-12-17T21:11:53.944+05:30,1:36:40,5800,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
13735673,chit91,#008000,"","","",,esl_dota2,lilnic3America,2021-12-17T21:19:00.396+05:30,1:43:46,6226,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
137172277,yoshiffy,#8A2BE2,"","","",,esl_dota2,bnineGasm,2021-12-17T21:21:23.237+05:30,1:46:09,6369,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
137172277,yoshiffy,#8A2BE2,"","","",,esl_dota2,bnineSleep,2021-12-17T21:22:21.233+05:30,1:47:07,6427,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
137172277,yoshiffy,#8A2BE2,"","","",,esl_dota2,jubeiBOGGED,2021-12-17T21:23:44.868+05:30,1:48:31,6511,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
137172277,yoshiffy,#8A2BE2,"","","",,esl_dota2,bnineThinking,2021-12-17T21:24:57.057+05:30,1:49:43,6583,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
166179315,gamerhcp,#008000,predictions,Predicted Blue (1),blue-1,,esl_dota2,qojClown,2021-12-17T21:25:09.801+05:30,1:49:56,6596,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
137172277,yoshiffy,#8A2BE2,"","","",,esl_dota2,PogChamp,2021-12-17T21:25:28.316+05:30,1:50:14,6614,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
138164251,themosteve,,"","","",,esl_dota2,VoHiYo,2021-12-17T21:30:03.583+05:30,1:54:49,6889,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
46997545,shevek__,#9ACD32,"","","",,esl_dota2,OhMyDog,2021-12-17T21:32:56.062+05:30,1:57:42,7062,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
137172277,yoshiffy,#8A2BE2,"","","",,esl_dota2,bnineSleep,2021-12-17T21:35:11.012+05:30,1:59:57,7197,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
137172277,yoshiffy,#8A2BE2,"","","",,esl_dota2,LUL,2021-12-17T21:35:52.965+05:30,2:00:39,7239,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
137172277,yoshiffy,#8A2BE2,"","","",,esl_dota2,bnineGasm,2021-12-17T21:38:48.299+05:30,2:03:34,7414,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
486166208,nmoth,#8A2BE2,premium,Prime Gaming,1,,esl_dota2,bnineThinking,2021-12-17T21:40:46.171+05:30,2:05:32,7532,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
37355649,cuddlepuppy,#1E90FF,premium,Prime Gaming,1,,esl_dota2,OWL2019gg,2021-12-17T21:40:54.908+05:30,2:05:41,7541,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
37355649,cuddlepuppy,#1E90FF,premium,Prime Gaming,1,,esl_dota2,nubbinGG,2021-12-17T21:40:54.908+05:30,2:05:41,7541,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
733171731,dumbbuttbeautiful,#FF69B4,"","","",,esl_dota2,LUL,2021-12-17T21:44:26.376+05:30,2:09:12,7752,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
90543322,ruspo,#FF0000,"","","",,esl_dota2,LUL,2021-12-17T21:47:07.697+05:30,2:11:53,7913,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
37355649,cuddlepuppy,#1E90FF,premium,Prime Gaming,1,,esl_dota2,DansGame,2021-12-17T21:56:39.065+05:30,2:21:25,8485,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
37355649,cuddlepuppy,#1E90FF,premium,Prime Gaming,1,,esl_dota2,WutFace,2021-12-17T21:56:39.065+05:30,2:21:25,8485,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
37355649,cuddlepuppy,#1E90FF,premium,Prime Gaming,1,,esl_dota2,nubbinNO,2021-12-17T21:56:39.065+05:30,2:21:25,8485,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
37355649,cuddlepuppy,#1E90FF,premium,Prime Gaming,1,,esl_dota2,nubbinWut,2021-12-17T21:56:39.065+05:30,2:21:25,8485,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
74727435,alienmanabanana,#008000,premium,Prime Gaming,1,,esl_dota2,<3,2021-12-17T22:09:08.298+05:30,2:33:54,9234,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
13735673,chit91,#008000,predictions,Predicted Pink (2),pink-2,,esl_dota2,LUL,2021-12-17T22:11:39.194+05:30,2:36:25,9385,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
22359889,tioga060,#007F99,premium,Prime Gaming,1,,esl_dota2,lukiluPog,2021-12-17T22:11:54.538+05:30,2:36:40,9400,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
22359889,tioga060,#007F99,premium,Prime Gaming,1,,esl_dota2,lukilu1,2021-12-17T22:15:23.956+05:30,2:40:10,9610,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
22359889,tioga060,#007F99,premium,Prime Gaming,1,,esl_dota2,lukilu2,2021-12-17T22:15:23.956+05:30,2:40:10,9610,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
22359889,tioga060,#007F99,premium,Prime Gaming,1,,esl_dota2,lukilu1,2021-12-17T22:16:09.524+05:30,2:40:55,9655,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
22359889,tioga060,#007F99,premium,Prime Gaming,1,,esl_dota2,lukilu2,2021-12-17T22:16:09.524+05:30,2:40:55,9655,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
22359889,tioga060,#007F99,premium,Prime Gaming,1,,esl_dota2,lukilu1,2021-12-17T22:18:19.464+05:30,2:43:05,9785,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
22359889,tioga060,#007F99,premium,Prime Gaming,1,,esl_dota2,lukilu2,2021-12-17T22:18:19.464+05:30,2:43:05,9785,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
733171731,dumbbuttbeautiful,#FF69B4,"","","",,esl_dota2,LUL,2021-12-17T22:18:22.588+05:30,2:43:08,9788,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
78675156,extraneousentity,#0000FF,"","","",,esl_dota2,LUL,2021-12-17T22:19:07.547+05:30,2:43:53,9833,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
248473495,naiveslayer,#8A2BE2,"","","",,esl_dota2,esldota2DIVE,2021-12-17T22:33:25.406+05:30,2:58:11,10691,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
248473495,naiveslayer,#8A2BE2,"","","",,esl_dota2,esldota2FAIL,2021-12-17T22:33:54.604+05:30,2:58:40,10720,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
40713462,hryzleff,#00FF7F,"","","",,esl_dota2,LUL,2021-12-17T22:34:12.221+05:30,2:58:58,10738,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
248473495,naiveslayer,#8A2BE2,"","","",,esl_dota2,esldota2TROLL,2021-12-17T22:35:00.933+05:30,2:59:47,10787,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
725562334,maym17,,predictions,Predicted Blue (1),blue-1,,esl_dota2,:(,2021-12-17T22:35:31.761+05:30,3:00:18,10818,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
229532124,jivajago,#F900FF,glhf_pledge,GLHF Pledge,1,,esl_dota2,PogChamp,2021-12-17T22:41:45.363+05:30,3:06:31,11191,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
492026019,pecepelepesye,,"","","",,esl_dota2,ResidentSleeper,2021-12-17T22:42:14.903+05:30,3:07:01,11221,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
660620053,nazsvx,#FF0000,"","","",,esl_dota2,TTours,2021-12-17T22:42:17.899+05:30,3:07:04,11224,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
168844484,jimkenne,#2E8B57,"","","",,esl_dota2,WutFace,2021-12-17T22:42:23.733+05:30,3:07:10,11230,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
73045601,shmokey_1,#008000,premium,Prime Gaming,1,,esl_dota2,TTours,2021-12-17T22:42:24.516+05:30,3:07:10,11230,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
31584250,sublime182,,"","","",,esl_dota2,TTours,2021-12-17T22:42:33.257+05:30,3:07:19,11239,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
124269376,arkie08,,"","","",,esl_dota2,jubeiG,2021-12-17T22:42:39.419+05:30,3:07:25,11245,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
30583973,ar3alcoo1kat,,"","","",,esl_dota2,Kreygasm,2021-12-17T22:42:39.883+05:30,3:07:26,11246,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
51924173,elmyr1,#2E8B57,predictions,Predicted Blue (1),blue-1,,esl_dota2,GlitchCat,2021-12-17T22:42:40.044+05:30,3:07:26,11246,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
485245589,seikoia,#1E90FF,"","","",,esl_dota2,admiralHYPE,2021-12-17T22:44:07.548+05:30,3:08:53,11333,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
465643404,nora_alter,#FF0000,predictions,Predicted Pink (2),pink-2,,esl_dota2,LUL,2021-12-17T22:44:11.607+05:30,3:08:57,11337,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
37906586,lionzion0_o,,"","","",,esl_dota2,WutFace,2021-12-17T22:44:33.933+05:30,3:09:20,11360,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
229532124,jivajago,#F900FF,glhf_pledge,GLHF Pledge,1,,esl_dota2,MrDestructoid,2021-12-17T22:47:45.796+05:30,3:12:32,11552,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
229532124,jivajago,#F900FF,glhf_pledge,GLHF Pledge,1,,esl_dota2,LUL,2021-12-17T22:48:58.519+05:30,3:13:44,11624,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
229532124,jivajago,#F900FF,glhf_pledge,GLHF Pledge,1,,esl_dota2,ResidentSleeper,2021-12-17T22:49:09.757+05:30,3:13:56,11636,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
118874722,conscio02,,predictions,Predicted Pink (2),pink-2,,esl_dota2,PogChamp,2021-12-17T22:49:54.853+05:30,3:14:41,11681,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
229532124,jivajago,#F900FF,glhf_pledge,GLHF Pledge,1,,esl_dota2,LUL,2021-12-17T22:49:56.726+05:30,3:14:43,11683,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
249996571,mulespace1,,"","","",,esl_dota2,BOP,2021-12-17T22:50:00.035+05:30,3:14:46,11686,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
48453416,nocno,#8A2BE2,"","","",,esl_dota2,LUL,2021-12-17T22:51:36.955+05:30,3:16:23,11783,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
440413600,cabriony,,"","","",,esl_dota2,PogChamp,2021-12-17T22:52:24.278+05:30,3:17:10,11830,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
118874722,conscio02,,predictions,Predicted Pink (2),pink-2,,esl_dota2,NotLikeThis,2021-12-17T22:52:26.786+05:30,3:17:13,11833,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
229532124,jivajago,#F900FF,glhf_pledge,GLHF Pledge,1,,esl_dota2,MrDestructoid,2021-12-17T22:52:34.814+05:30,3:17:21,11841,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
402324781,shifyru,#FF0000,"","","",,esl_dota2,LUL,2021-12-17T22:52:39.060+05:30,3:17:25,11845,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
118874722,conscio02,,predictions,Predicted Pink (2),pink-2,,esl_dota2,PogChamp,2021-12-17T22:52:41.550+05:30,3:17:27,11847,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
75042086,gongon25,,"","","",,esl_dota2,LUL,2021-12-17T22:52:43.356+05:30,3:17:29,11849,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
276434790,barryqa,,premium,Prime Gaming,1,,esl_dota2,LUL,2021-12-17T22:52:57.375+05:30,3:17:43,11863,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
121774536,dread_nightmare,#2791C2,"predictions,premium","Predicted Pink (2),Prime Gaming","pink-2,1",,esl_dota2,LUL,2021-12-17T22:53:13.781+05:30,3:18:00,11880,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
88506757,satanshumblegardengnome,#FFEA00,"","","",,esl_dota2,lukiluLick,2021-12-17T22:53:45.969+05:30,3:18:32,11912,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
22359889,tioga060,#007F99,premium,Prime Gaming,1,,esl_dota2,lukiluPog,2021-12-17T22:54:15.958+05:30,3:19:02,11942,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
33677271,drhonker,#000000,"","","",,esl_dota2,atpCarl,2021-12-17T22:56:09.484+05:30,3:20:55,12055,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
33677271,drhonker,#000000,"","","",,esl_dota2,atpBigot,2021-12-17T22:56:09.484+05:30,3:20:55,12055,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
229532124,jivajago,#F900FF,glhf_pledge,GLHF Pledge,1,,esl_dota2,LUL,2021-12-17T22:56:14.241+05:30,3:21:00,12060,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
185825295,baine666,#FF0000,"","","",,esl_dota2,o_O,2021-12-17T22:56:47.799+05:30,3:21:34,12094,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
146809333,delvorktv,#D2691E,"","","",,esl_dota2,LUL,2021-12-17T22:57:00.522+05:30,3:21:46,12106,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
18645904,sneykingdota,#B800FF,partner,Verified,1,,esl_dota2,sneyLUL,2021-12-17T22:57:09.042+05:30,3:21:55,12115,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
22359889,tioga060,#007F99,premium,Prime Gaming,1,,esl_dota2,lukilu2,2021-12-17T22:57:14.704+05:30,3:22:01,12121,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
406614108,noobash_,#1E90FF,"","","",,esl_dota2,SeemsGood,2021-12-17T22:57:15.192+05:30,3:22:01,12121,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
406614108,noobash_,#1E90FF,"","","",,esl_dota2,LUL,2021-12-17T22:57:15.192+05:30,3:22:01,12121,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
26438344,sozased,#8A2BE2,"","","",,esl_dota2,LUL,2021-12-17T22:57:23.274+05:30,3:22:09,12129,1236116281,LIVE: DogChamp vs felt - DPC NA Winter Tour - DreamLeague Season 16
