i_user_id,i_username,i_display_color,i_badge_names,i_badge_titles,i_badge_versions,i_user_status,j_streamer,k_emote_name,t_timestamp,t_time_text,t_seconds,vod_id,match_title
57056993,deepsearolypoly,#0000FF,glitchcon2020,GlitchCon 2020,1,,esl_dota2,:/,2021-11-24T02:59:46.965+05:30,3:10,190,1214301861,LIVE: NA DPC Closed Qualifiers I Black Ice Esports vs Team 1 bo3 I cast by aponzeus and Brightside
40825076,mrhappy893,#2E8B57,"","","",,esl_dota2,LUL,2021-11-24T13:21:31.895+05:30,10:24:55,37495,1214301861,LIVE: NA DPC Closed Qualifiers I Black Ice Esports vs Team 1 bo3 I cast by aponzeus and Brightside
29441726,copiusmaximus_,#FF69B4,premium,Prime Gaming,1,,esl_dota2,LUL,2021-11-25T08:01:16.333+05:30,5:35,335,1215363211,LIVE: NA DPC Closed Qualifiers Finals I Team Magnus 1 : 1 Legalize Potm I Casted by aponzeus & Wingblade
62845613,tojitakeda,,glhf_pledge,GLHF Pledge,1,,esl_dota2,WutFace,2021-11-26T19:35:55.314+05:30,35:40:14,128414,1215363211,LIVE: NA DPC Closed Qualifiers Finals I Team Magnus 1 : 1 Legalize Potm I Casted by aponzeus & Wingblade
50292615,mmraddict,#1E90FF,premium,Prime Gaming,1,,esl_dota2,:D,2021-11-04T08:32:23.148+05:30,33:44:44,121484,1194319853,RECAP: PSG.LGD vs TUNDRA - GRAND FINAL - ESL ONE FALL 2021 DOTA 2 - by @NoobFromUA
443331953,yuejanus,,"","","",,esl_dota2,zaiV,2021-11-21T21:01:48.666+05:30,6:10:36,22236,1211933371,RECAP: T1 vs BEASTCOAST - KOTL TERMINATOR - ESL ONE FALL 2021 DOTA 2 - by @NoobFromUA
443331953,yuejanus,,"","","",,esl_dota2,PowerUpR,2021-11-21T21:01:48.666+05:30,6:10:36,22236,1211933371,RECAP: T1 vs BEASTCOAST - KOTL TERMINATOR - ESL ONE FALL 2021 DOTA 2 - by @NoobFromUA
403878693,oblivion12111,#B22222,"","","",,esl_dota2,esldota22HEAD_TK,2021-11-01T16:34:12.386+05:30,17:46:42,64002,1192551700,RECAP: VIRTUS PRO vs TUNDRA - SEMI-FINAL - ESL ONE FALL 2021 DOTA 2 - by @NoobFromUA
73156681,tape56,,"","","",,esl_dota2,Jebaited,2021-11-01T22:43:49.275+05:30,23:56:19,86179,1192551700,RECAP: VIRTUS PRO vs TUNDRA - SEMI-FINAL - ESL ONE FALL 2021 DOTA 2 - by @NoobFromUA
147323527,symantecx,,"","","",,esl_dota2,LUL,2021-11-02T18:48:29.673+05:30,44:00:59,158459,1192551700,RECAP: VIRTUS PRO vs TUNDRA - SEMI-FINAL - ESL ONE FALL 2021 DOTA 2 - by @NoobFromUA
