id,title,created_at,duration,url
441630601,RERUN: Dota2 - PSG.LGD vs. Team Secret - Game 2 - Lower Bracket Final - ESL One Birmingham 2019,2019-06-20T08:58:51Z,42h55m45s,https://www.twitch.tv/videos/441630601
440696030,RERUN: Dota2 - PSG.LGD vs. Team Secret - Game 1 - Lower Bracket Final - ESL One Birmingham 2019,2019-06-18T08:58:35Z,47h57m4s,https://www.twitch.tv/videos/440696030
439807667,RERUN: Dota2 - PSG.LGD vs. Team Secret - Game 1 - Lower Bracket Final - ESL One Birmingham 2019,2019-06-16T08:58:18Z,47h57m4s,https://www.twitch.tv/videos/439807667
439739973,ESL MYSG Championship - Grand Final | pro.eslgaming.com/mysg,2019-06-16T04:03:52Z,4h42m36s,https://www.twitch.tv/videos/439739973
439264753,ESL MYSG Championship - Semi-Finals | pro.eslgaming.com/mysg,2019-06-15T03:52:59Z,6h9m8s,https://www.twitch.tv/videos/439264753
439160155,RERUN: Dota2 - Evil Geniuses vs. Team Secret - Game 5 - Grand Final - ESL One Birmingham 2019,2019-06-15T00:30:47Z,3h16m24s,https://www.twitch.tv/videos/439160155
438497403,RERUN: Dota2 - Evil Geniuses vs. Team Secret - Game 2 - Grand Final - ESL One Birmingham 2019,2019-06-13T16:30:55Z,31h57m4s,https://www.twitch.tv/videos/438497403
437592003,RERUN: Dota2 - Evil Geniuses vs. Team Secret - Game 1 - Grand Final - ESL One Birmingham 2019,2019-06-11T16:30:39Z,47h57m2s,https://www.twitch.tv/videos/437592003
436701687,RERUN: Dota2 - PSG.LGD vs. Team Secret - Game 3 - Lower Bracket Final - ESL One Birmingham 2019,2019-06-09T16:30:23Z,47h56m11s,https://www.twitch.tv/videos/436701687
435743842,RERUN: Dota2 - PSG.LGD vs. Team Secret - Game 2 - Lower Bracket Final - ESL One Birmingham 2019,2019-06-07T16:30:08Z,47h56m41s,https://www.twitch.tv/videos/435743842
434849069,RERUN: Dota2 - PSG.LGD vs. Team Secret - Game 1 - Lower Bracket Final - ESL One Birmingham 2019,2019-06-05T16:29:51Z,47h56m59s,https://www.twitch.tv/videos/434849069
433950805,RERUN: Dota2 - PSG.LGD vs. Team Secret - Game 1 - Lower Bracket Final - ESL One Birmingham 2019,2019-06-03T16:29:34Z,47h57m3s,https://www.twitch.tv/videos/433950805
433881155,"LIVE: ESL MYSG Championship - Week 7, Day 2 | pro.eslgaming.com/mysg",2019-06-03T12:35:22Z,3h52m32s,https://www.twitch.tv/videos/433881155
433654932,RERUN: Dota2 - PSG.LGD vs. Team Secret - Game 1 - Lower Bracket Final - ESL One Birmingham 2019,2019-06-02T21:35:14Z,14h52m34s,https://www.twitch.tv/videos/433654932
433652975,RERUN: Dota2 - PSG.LGD vs. Team Secret - Game 1 - Lower Bracket Final - ESL One Birmingham 2019,2019-06-02T21:30:14Z,2m31s,https://www.twitch.tv/videos/433652975
433402192,LIVE: Championship Sunday - Day 6| ESL One Birmingham 2019,2019-06-02T10:05:28Z,11h22m8s,https://www.twitch.tv/videos/433402192
433135331,RERUN: Dota2 - TNC Predator vs. Team Secret - Game 1 - Lower Bracket - ESL One Birmingham 2019,2019-06-01T20:02:14Z,14h0m55s,https://www.twitch.tv/videos/433135331
432923803,LIVE: Lower Bracket - Day 5| ESL One Birmingham 2019,2019-06-01T10:03:03Z,9h56m28s,https://www.twitch.tv/videos/432923803
432647488,RERUN: Dota2 - Team Liquid vs. Gambit Esports - Game 1 - Lower Bracket - ESL One Birmingham 2019,2019-05-31T20:12:14Z,13h44m42s,https://www.twitch.tv/videos/432647488
432439188,RERUN: Dota2 - PSG.LGD vs. Evil Geniuses - Game 1 - Group B - ESL One Birmingham 2019,2019-05-31T10:02:17Z,10h9m13s,https://www.twitch.tv/videos/432439188
432235250,LIVE: Day 3| ESL One Birmingham 2019,2019-05-30T22:16:40Z,11h43m29s,https://www.twitch.tv/videos/432235250
431972901,RERUN: Dota2 - TNC Predator vs. OG - Game 2 - Group A - ESL One Birmingham 2019,2019-05-30T10:01:20Z,12h6m13s,https://www.twitch.tv/videos/431972901
431964564,RERUN: Dota2 - PSG.LGD vs. Gambit Esports - Game 2 - Group B - ESL One Birmingham 2019,2019-05-30T09:17:03Z,41m41s,https://www.twitch.tv/videos/431964564
431748730,RERUN: Dota2 - TNC Predator vs. OG - Game 1 - Group A - ESL One Birmingham 2019,2019-05-29T21:36:54Z,3h25m29s,https://www.twitch.tv/videos/431748730
431485024,RERUN: Dota2 - Forward Gaming vs. OG - Game 1 - Group A - ESL One Birmigham 2019,2019-05-29T10:00:34Z,11h34m2s,https://www.twitch.tv/videos/431485024
431266549,RERUN: Dota2 - Vici Gaming vs. Team Liquid - Game 1 - Group A - ESL One Birmingham 2019,2019-05-28T21:35:54Z,12h22m40s,https://www.twitch.tv/videos/431266549
431026909,RERUN: Natus Vincere vs. Keen Gaming - Game 1 - LB Final - ESL One Mumbai 2019,2019-05-28T10:07:40Z,11h26m29s,https://www.twitch.tv/videos/431026909
430559098,RERUN: Natus Vincere vs. Keen Gaming - Game 2 - LB Final - ESL One Mumbai 2019,2019-05-27T10:13:19Z,23h34m16s,https://www.twitch.tv/videos/430559098
429595112,RERUN: Mineski vs. Keen Gaming - Game 1 - Grand Final - ESL One Mumbai 2019,2019-05-25T10:13:04Z,47h56m43s,https://www.twitch.tv/videos/429595112
