id,title,created_at,duration,url,video_type
2411421473,VRS with Pimp & Spunj,2025-03-21T13:18:27Z,6m40s,https://www.twitch.tv/videos/2411421473,highlight
2355652251,zAAz Interview,2025-01-17T11:42:03Z,5m6s,https://www.twitch.tv/videos/2355652251,highlight
2355037525,Elige Interview,2025-01-16T18:47:08Z,5m40s,https://www.twitch.tv/videos/2355037525,highlight
2292517223,"BLAST 2025 Format Explained, World Final 2024",2024-11-03T08:25:00Z,9m11s,https://www.twitch.tv/videos/2292517223,highlight
2289938812,cadiaN arm World Final 2024,2024-10-31T11:15:03Z,47s,https://www.twitch.tv/videos/2289938812,highlight
2263585111,m0NESY winning clutch - Fall Final 2024,2024-09-29T18:23:19Z,40s,https://www.twitch.tv/videos/2263585111,highlight
2262511553,"Highlight: BLAST Fall Final 2024, Semifinals: Team Vitality vs G2 Esports & Natus Vincere vs FaZe Clan",2024-09-28T13:59:43Z,1m46s,https://www.twitch.tv/videos/2262511553,highlight
1874291201,Mahone Zone: Team Liquid smokes on Mirage,2023-07-17T14:18:55Z,1m41s,https://www.twitch.tv/videos/1874291201,highlight
1873610208,"MICD UP: BIG fights, no running",2023-07-16T18:09:37Z,42s,https://www.twitch.tv/videos/1873610208,highlight
1873437440,Mahone Zone: Heroic taking Mid control on Mirage,2023-07-16T14:07:08Z,2m20s,https://www.twitch.tv/videos/1873437440,highlight
1872610166,Mahone Zone: Vitality's Vertigo,2023-07-15T15:05:43Z,1m49s,https://www.twitch.tv/videos/1872610166,highlight
1872484165,Mahone Zone: G2 Mid control on Mirage,2023-07-15T11:05:04Z,2m18s,https://www.twitch.tv/videos/1872484165,highlight
1871851273,Mahone Zone: nexa's Inferno T side,2023-07-14T18:07:32Z,2m19s,https://www.twitch.tv/videos/1871851273,highlight
1871654103,AleksiB 10 sec defuse,2023-07-14T12:53:30Z,15s,https://www.twitch.tv/videos/1871654103,highlight
1871609008,Mahone Zone: Playing A on Overpass? Play Connector,2023-07-14T11:12:05Z,2m19s,https://www.twitch.tv/videos/1871609008,highlight
1871576006,"Fall Groups, Day 2 let's go!",2023-07-14T09:35:28Z,1m32s,https://www.twitch.tv/videos/1871576006,highlight
1862402276,"GL vs. Heroic, Mirage Round 6",2023-07-03T17:55:41Z,2m17s,https://www.twitch.tv/videos/1862402276,highlight
1862384500,"GL vs. Heroic, Mirage Round 10",2023-07-03T17:32:08Z,2m5s,https://www.twitch.tv/videos/1862384500,highlight
1846032231,"karrigan almost ninja defuse vs Astralis - Highlight: BLAST Premier Spring Final 2023, Day 1",2023-06-14T13:06:25Z,1m15s,https://www.twitch.tv/videos/1846032231,highlight
1821355836,FaZe didn't know they won,2023-05-16T13:39:23Z,16s,https://www.twitch.tv/videos/1821355836,highlight
1815688965,VSM 3k ramp defense vs Liquid,2023-05-09T19:25:26Z,14s,https://www.twitch.tv/videos/1815688965,highlight
1815679963,Freya intro day 2,2023-05-09T19:13:24Z,37s,https://www.twitch.tv/videos/1815679963,highlight
1815677193,maden 1v4 vs FaZe on Nuke,2023-05-09T19:09:58Z,57s,https://www.twitch.tv/videos/1815677193,highlight
1815350092,Day 2 Unikrn Pickems,2023-05-09T09:17:47Z,53s,https://www.twitch.tv/videos/1815350092,highlight
1794416695,karrigan winner's interview,2023-04-15T14:50:01Z,3m13s,https://www.twitch.tv/videos/1794416695,highlight
1794275616,Hobbit winner's interview,2023-04-15T10:38:32Z,1m37s,https://www.twitch.tv/videos/1794275616,highlight
1793696187,k1to winner's interview,2023-04-14T19:51:30Z,1m33s,https://www.twitch.tv/videos/1793696187,highlight
