i_user_id,i_user_name,i_display_color,i_badge_names,i_badge_titles,i_badge_versions,i_user_status,j_streamer,k_emote_name,t_timestamp,t_time_text,t_seconds,vod_id,chat_message,match_title
165819983,groovy0703,,"","","",,esl_dota2,LUL,2018-01-23T11:39:54.759+05:30,40:37:51,146271,220970949,why is there no one watching in this channel LUL,RERUN: Newbee vs. Evil Geniuses - Game 3 - Group A Decider - ESL One Hamburg Major 2017
76475138,eshariat,,"","","",,esl_dota2,WutFace,2018-02-25T09:22:44.857+05:30,35:06:42,126402,232108439,WutFace,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
49019257,ningy,,"","","",,esl_dota2,godotSpit,2018-09-11T11:14:20.266+05:30,3:18:51,11931,308662231,godotSpit,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #6 | esl.gg/anz
57159723,andros_dota,#008000,"","","",,esl_dota2,SeemsGood,2018-08-05T07:20:38.668+05:30,5:18:24,19104,293255193,SeemsGood,ESL AU&NZ Championship - Open Cup #3
197937382,quote_me_if_na_sobayed,,"","","",,esl_dota2,:P,2018-02-26T06:38:20.666+05:30,8:22:00,30120,232855094,I hope someday midone goes to liquid :P,RERUN: Virtus.pro vs. EG - Game 2 - Quarterfinal - ESL One Katowice Major 2018
48275388,cosicosi7,#1E90FF,"","","",,esl_dota2,PogChamp,2018-08-20T08:47:30.870+05:30,45:34,2734,299604674,andros PogChamp,LIVE: Natural 9 vs. Fox Gaming | ESL AU&NZ Championship 2018
223494937,breakoutdoto,#FF69B4,"","","",,esl_dota2,godotCalvin,2018-09-11T10:38:44.119+05:30,2:43:15,9795,308662231,godotCalvin,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #6 | esl.gg/anz
139551548,steptherapy,#FF0000,"","","",,esl_dota2,BibleThump,2018-03-20T09:37:36.784+05:30,4:35,275,240772728,BibleThump,LIVE: ESL AU&NZ Championship - Open Cup #3
60396675,notdoctorq,#FF69B4,"","","",,esl_dota2,DendiFace,2018-02-23T12:24:20.767+05:30,38:08:31,137311,231434877,DendiFace,RERUN: Team Secret vs Planet Dog - Group A Opening Game - ESL One Genting 2018
178946045,veiiplays,#00FF7F,"","","",,esl_dota2,WutFace,2018-04-17T13:28:10.646+05:30,4:00:20,14420,251323997,WutFace splicko,RERUN: OG vs. Liquid - Game 1 - ESL One Frankfurt 2016 - Semifinal
71650466,hypemandota,,"","","",,esl_dota2,godotCalvin,2018-09-11T11:36:40.491+05:30,3:41:11,13271,308662231,godotCalvin,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #6 | esl.gg/anz
44685101,hoobzeen,#0000FF,"","","",,esl_dota2,WutFace,2018-02-25T18:26:41.376+05:30,44:10:38,159038,232108439,ads WutFace,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
