i_user_id,i_user_name,i_display_color,i_badge_names,i_badge_titles,i_badge_versions,i_user_status,j_streamer,k_emote_name,t_timestamp,t_time_text,t_seconds,vod_id,chat_message,match_title
82227890,butchtiki,#FF0000,"","","",,esl_dota2,Kappa,2018-02-23T12:57:20.094+05:30,38:41:31,139291,231434877,Kappa,RERUN: Team Secret vs Planet Dog - Group A Opening Game - ESL One Genting 2018
60120721,moseswunde,#008000,premium,Prime Gaming,1,,esl_dota2,DansGame,2018-02-24T07:48:42.958+05:30,9:32:40,34360,232108439,you can't spoil the thing that already happened DansGame,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
30443046,tekcorocket,#FF0000,"","","",,esl_dota2,FailFish,2018-09-18T09:57:21.484+05:30,1:59:43,7183,311589433,whole lvl missed FailFish,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #8 | esl.gg/anz
47480308,yukorin1992,#008000,"","","",,esl_dota2,LUL,2018-02-24T10:42:33.649+05:30,12:26:30,44790,232108439,secret LUL,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
45742354,aebondeius,#FFFFFF,premium,Prime Gaming,1,,esl_dota2,MercyWing1,2018-05-26T07:35:28.912+05:30,40:50:10,147010,264980287,MercyWing1 LUL MercyWing2 that's how the biscuit crumbles MercyWing1 LUL MercyWing2,RERUN: Team Liquid vs. Vici - Game 3 - Semifinal - ESL One Katowice Major 2018
48275388,cosicosi7,#1E90FF,"","","",,esl_dota2,TriHard,2018-09-18T08:40:25.045+05:30,42:47,2567,311589433,TriHard,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #8 | esl.gg/anz
25218260,bzhere,,"","","",,esl_dota2,Kappa,2018-02-24T10:17:10.747+05:30,12:01:07,43267,232108439,@OneiroDan Kappa,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
73369060,billyfullbuster,#B22222,"","","",,esl_dota2,ANELE,2018-02-22T02:34:58.741+05:30,4:19:09,15549,231434877,ANELE ANELE ANELE ANELE ANELE ANELE,RERUN: Team Secret vs Planet Dog - Group A Opening Game - ESL One Genting 2018
,,#FF0000,"","","",,esl_dota2,syndW,2018-02-23T00:12:22.092+05:30,25:56:33,93393,231434877,syndW,RERUN: Team Secret vs Planet Dog - Group A Opening Game - ESL One Genting 2018
103008356,withpepper,#9ACD32,premium,Prime Gaming,1,,esl_dota2,PrimeYouDontSay,2018-02-22T08:18:05.069+05:30,10:02:16,36136,231434877,ad block PrimeYouDontSay PrimeYouDontSay PrimeYouDontSay,RERUN: Team Secret vs Planet Dog - Group A Opening Game - ESL One Genting 2018
48275388,cosicosi7,#1E90FF,"","","",,esl_dota2,PogChamp,2018-09-17T08:35:26.438+05:30,38:55,2335,311210319,PogChamp,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #7 | esl.gg/anz
157580244,damagepersecondd,,"","","",,esl_dota2,VoHiYo,2018-02-24T11:17:32.950+05:30,13:01:30,46890,232108439,VoHiYo,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
149364366,esternocleidomastoiderius,,"","","",,esl_dota2,PJSalt,2018-02-27T06:01:46.836+05:30,31:45:27,114327,232855094,im out guys time to PJSalt,RERUN: Virtus.pro vs. EG - Game 2 - Quarterfinal - ESL One Katowice Major 2018
23455643,flamingtorcy,#008000,turbo,Turbo,1,,esl_dota2,:/,2018-02-24T07:50:04.670+05:30,9:34:01,34441,232108439,:/,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
215359913,thanksforthebuilding,,"","","",,esl_dota2,PogChamp,2018-05-26T13:03:01.054+05:30,46:17:42,166662,264980287,BSJ lI've PogChamp,RERUN: Team Liquid vs. Vici - Game 3 - Semifinal - ESL One Katowice Major 2018
157033372,monotant,,premium,Prime Gaming,1,,esl_dota2,BibleThump,2018-04-17T13:31:00.836+05:30,4:03:11,14591,251323997,tiny is so poor BibleThump,RERUN: OG vs. Liquid - Game 1 - ESL One Frankfurt 2016 - Semifinal
43624843,ironnis,,"","","",,esl_dota2,Mau5,2018-02-24T08:32:42.543+05:30,10:16:39,36999,232108439,Mau5,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
25746152,vasonthespot,#FF7F50,"","","",,esl_dota2,PogChamp,2018-03-20T09:43:43.389+05:30,10:42,642,240772728,WD PogChamp It begins,LIVE: ESL AU&NZ Championship - Open Cup #3
25686203,mbappegoatcheese,#9ACD32,"","","",,esl_dota2,LUL,2018-02-24T08:19:19.369+05:30,10:03:16,36196,232108439,If EG is tier 3 then newbee LUL LUL,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
61194854,itsjfx,#DAA520,"","","",,esl_dota2,WutFace,2018-06-17T02:40:35.616+05:30,2:47:11,10031,274116024,WutFace,LIVE: ESL AU&NZ Championship Season 1 Finals - Day 3 - Live from Supanova Sydney
151552585,ghostring,#1E90FF,"","","",,esl_dota2,LUL,2018-02-26T15:56:07.336+05:30,17:39:47,63587,232855094,LUL,RERUN: Virtus.pro vs. EG - Game 2 - Quarterfinal - ESL One Katowice Major 2018
