i_user_id,i_user_name,i_display_color,i_badge_names,i_badge_titles,i_badge_versions,i_user_status,j_streamer,k_emote_name,t_timestamp,t_time_text,t_seconds,vod_id,chat_message,match_title
48275388,cosicosi7,#1E90FF,"","","",,esl_dota2,godotCalvin,2018-09-18T10:56:35.555+05:30,2:58:57,10737,311589433,godotCalvin godotKouro godotFJ,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #8 | esl.gg/anz
390384,danog,#008000,premium,Prime Gaming,1,,esl_dota2,PogChamp,2018-07-22T03:26:22.596+05:30,1:14:13,4453,287651696,al the chemist PogChamp,LIVE: #ESLAUNZ Championship 2018 Season 2 - Open Qualifier #1 | pro.eslgaming.com/anz
163404393,sintexu,,"","","",,esl_dota2,WutFace,2018-01-25T19:51:14.624+05:30,34:46:15,125175,221813658,WutFace,RERUN: Team Secret vs. CDEC - Semifinal Game 2 - ESL One New York 2015
36712410,psycho_ling,#0000FF,"","","",,esl_dota2,Kappa,2018-03-20T11:28:49.682+05:30,1:55:48,6948,240772728,who's ready for some tier 1 dota Kappa,LIVE: ESL AU&NZ Championship - Open Cup #3
77908647,atlasau,#B22222,"","","",,esl_dota2,LUL,2018-09-03T10:04:37.961+05:30,1:46:55,6415,305305461,LUL,RERUN - Preshow - ESL One Genting 2017
196035570,levhungdoto,,"","","",,esl_dota2,LUL,2018-02-22T05:46:25.204+05:30,7:30:36,27036,231434877,LUL,RERUN: Team Secret vs Planet Dog - Group A Opening Game - ESL One Genting 2018
169049860,femto555,,"","","",,esl_dota2,DendiFace,2018-04-10T14:35:33.859+05:30,4:44:34,17074,248733912,DendiFace IM HERE,LIVE: ESL AUNZ Championship Playoffs | pro.eslgaming.com/anz
106637048,mandalord1991,#FF69B4,"","","",,esl_dota2,LUL,2018-02-24T10:31:57.554+05:30,12:15:54,44154,232108439,MONITOR LUL,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
136959128,initialmor,#1E90FF,"","","",,esl_dota2,DansGame,2018-02-26T11:02:13.405+05:30,12:45:53,45953,232855094,DansGame,RERUN: Virtus.pro vs. EG - Game 2 - Quarterfinal - ESL One Katowice Major 2018
34319788,jupesux,#000000,"","","",,esl_dota2,LUL,2018-01-23T03:49:14.618+05:30,32:47:11,118031,220970949,prime sub for what LUL,RERUN: Newbee vs. Evil Geniuses - Game 3 - Group A Decider - ESL One Hamburg Major 2017
24859950,sebbie,#1E90FF,partner,Verified,1,,esl_dota2,:o,2018-09-18T10:23:38.700+05:30,2:26:00,8760,311589433,:o ok can n9 win so i can see my fave team play?,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #8 | esl.gg/anz
22288641,twixn,#8A2BE2,"","","",,esl_dota2,LUL,2018-02-24T10:28:40.862+05:30,12:12:38,43958,232108439,rofl LUL,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
102707519,goodypundit,,"","","",,esl_dota2,PogChamp,2018-02-22T07:33:04.896+05:30,9:17:16,33436,231434877,is this live PogChamp,RERUN: Team Secret vs Planet Dog - Group A Opening Game - ESL One Genting 2018
107091300,sansalito,,"","","",,esl_dota2,BibleThump,2018-02-24T09:17:47.459+05:30,11:01:44,39704,232108439,Wow BibleThump,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
147019990,grandepilaf,,"","","",,esl_dota2,Kappa,2018-02-25T22:50:22.597+05:30,34:02,2042,232855094,yes Kappa,RERUN: Virtus.pro vs. EG - Game 2 - Quarterfinal - ESL One Katowice Major 2018
36122932,maneatinghobo,#8A2BE2,"","","",,esl_dota2,NotLikeThis,2018-02-26T08:33:10.589+05:30,10:16:50,37010,232855094,NotLikeThis,RERUN: Virtus.pro vs. EG - Game 2 - Quarterfinal - ESL One Katowice Major 2018
48275388,cosicosi7,#1E90FF,"","","",,esl_dota2,PogChamp,2018-09-18T08:42:11.097+05:30,44:33,2673,311589433,godotMatino PogChamp,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #8 | esl.gg/anz
55997662,leongj680,,premium,Prime Gaming,1,,esl_dota2,Jebaited,2018-04-10T15:02:43.922+05:30,5:11:44,18704,248733912,Jebaited by tidehunter ash2Sad,LIVE: ESL AUNZ Championship Playoffs | pro.eslgaming.com/anz
127686430,azorex,#1E90FF,"","","",,esl_dota2,forsenOMEGA,2018-04-17T12:03:27.085+05:30,2:35:37,9337,251323997,forsenOMEGA,RERUN: OG vs. Liquid - Game 1 - ESL One Frankfurt 2016 - Semifinal
66393156,praetoriandota,,"","","",,esl_dota2,SMOrc,2018-07-22T06:17:15.006+05:30,4:05:06,14706,287651696,"im sure if matino's team loses, he's kicked again SMOrc",LIVE: #ESLAUNZ Championship 2018 Season 2 - Open Qualifier #1 | pro.eslgaming.com/anz
140402584,fatbuttr00,,"","","",,esl_dota2,SoBayed,2018-02-26T09:13:12.085+05:30,10:56:52,39412,232855094,Let's here your flame now Lil SoBayed,RERUN: Virtus.pro vs. EG - Game 2 - Quarterfinal - ESL One Katowice Major 2018
147019990,grandepilaf,,"","","",,esl_dota2,PogChamp,2018-02-26T01:18:38.266+05:30,3:02:18,10938,232855094,PogChamp,RERUN: Virtus.pro vs. EG - Game 2 - Quarterfinal - ESL One Katowice Major 2018
31446100,jossssgaming,,"","","",,esl_dota2,LUL,2018-01-23T06:02:27.936+05:30,35:00:25,126025,220970949,Secret.Rtz LUL,RERUN: Newbee vs. Evil Geniuses - Game 3 - Group A Decider - ESL One Hamburg Major 2017
37908495,stalemilk94,#FF0000,"","","",,esl_dota2,:o,2018-02-22T10:42:13.915+05:30,12:26:25,44785,231434877,this game has a PogChamp ending :o,RERUN: Team Secret vs Planet Dog - Group A Opening Game - ESL One Genting 2018
120149813,hugh_mungus17,,"","","",,esl_dota2,FailFish,2018-01-23T04:14:20.223+05:30,33:12:17,119537,220970949,Facebook FailFish,RERUN: Newbee vs. Evil Geniuses - Game 3 - Group A Decider - ESL One Hamburg Major 2017
133209753,rcade_k20,,"","","",,esl_dota2,PunOko,2018-01-25T15:43:23.200+05:30,30:38:24,110304,221813658,I play dota on 2mbps internet connection PunOko,RERUN: Team Secret vs. CDEC - Semifinal Game 2 - ESL One New York 2015
142240574,rosesagaming,,"","","",,esl_dota2,LUL,2018-01-23T03:57:55.801+05:30,32:55:53,118553,220970949,omega LUL,RERUN: Newbee vs. Evil Geniuses - Game 3 - Group A Decider - ESL One Hamburg Major 2017
73521457,flukethehost,#00FF7F,"","","",,esl_dota2,4Head,2018-04-17T12:16:59.761+05:30,2:49:09,10149,251323997,4Head,RERUN: OG vs. Liquid - Game 1 - ESL One Frankfurt 2016 - Semifinal
130379157,hijackpot,#1E90FF,"","","",,esl_dota2,DansGame,2018-01-23T04:37:37.894+05:30,33:35:35,120935,220970949,2016 in 2018 ? DansGame,RERUN: Newbee vs. Evil Geniuses - Game 3 - Group A Decider - ESL One Hamburg Major 2017
138769882,antartis_gr,#FF0000,"","","",,esl_dota2,admiralGame,2018-02-20T10:34:56.237+05:30,24:22:43,87763,230615480,admiralGame,RERUN: Team Secret vs. EG - Game 2 - Grand Final - ESL One Frankfurt 2015
98732983,agoammo,#00FF7F,"","","",,esl_dota2,LUL,2018-05-26T01:25:17.027+05:30,34:39:58,124798,264980287,LUL Live Major LUL 200 viewers LUL Dead chat LUL dead game LUL,RERUN: Team Liquid vs. Vici - Game 3 - Semifinal - ESL One Katowice Major 2018
186065876,zhinmalik,#222AB4,"","","",,esl_dota2,VoHiYo,2018-02-24T07:57:13.315+05:30,9:41:10,34870,232108439,Weebs Unite! VoHiYo,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
,,,"","","",,esl_dota2,godotCalvin,2018-09-18T10:47:59.306+05:30,2:50:21,10221,311589433,godotCalvin,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #8 | esl.gg/anz
169049860,femto555,,"","","",,esl_dota2,LUL,2018-04-10T14:55:43.629+05:30,5:04:43,18283,248733912,2nd ravage already LUL,LIVE: ESL AUNZ Championship Playoffs | pro.eslgaming.com/anz
64480167,innocent044,,"","","",,esl_dota2,Kappa,2018-02-24T10:08:40.684+05:30,11:52:37,42757,232108439,Live Kappa,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
123118064,jiyian,#FF4500,"","","",,esl_dota2,SeemsGood,2018-02-26T21:16:48.574+05:30,23:00:28,82828,232855094,@vadimko24 thx SeemsGood,RERUN: Virtus.pro vs. EG - Game 2 - Quarterfinal - ESL One Katowice Major 2018
45894195,daredevilcooks,#000000,moderator,Moderator,1,,esl_dota2,:),2018-08-05T07:37:24.845+05:30,5:35:11,20111,293255193,"we do yes, small though, but it's building :)",ESL AU&NZ Championship - Open Cup #3
74579809,jucsxxx,,"","","",,esl_dota2,SoBayed,2018-01-23T03:32:09.358+05:30,32:30:06,117006,220970949,@dairo11 SoBayed,RERUN: Newbee vs. Evil Geniuses - Game 3 - Group A Decider - ESL One Hamburg Major 2017
,,#FF4500,"","","",,esl_dota2,:),2018-02-24T06:40:42.553+05:30,8:24:39,30279,232108439,feed incoming :),RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
67748039,draks60,,"","","",,esl_dota2,SoBayed,2018-02-24T09:13:39.840+05:30,10:57:37,39457,232108439,NA SoBayed,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
48275388,cosicosi7,#1E90FF,"","","",,esl_dota2,Kreygasm,2018-09-17T08:26:58.198+05:30,30:27,1827,311210319,that tip timing by kofaa Kreygasm,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #7 | esl.gg/anz
107717524,lolva_unaware,,"","","",,esl_dota2,TTours,2018-02-24T08:26:50.781+05:30,10:10:47,36647,232108439,TTours,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
8764604,yeti007,#8A2BE2,"","","",,esl_dota2,LUL,2018-01-23T03:41:22.145+05:30,32:39:19,117559,220970949,Hamburg schedule LUL,RERUN: Newbee vs. Evil Geniuses - Game 3 - Group A Decider - ESL One Hamburg Major 2017
56298715,jerichodota,#0000FF,"","","",,esl_dota2,4Head,2018-02-20T10:18:03.906+05:30,24:05:51,86751,230615480,ez f10k 4Head 4Head,RERUN: Team Secret vs. EG - Game 2 - Grand Final - ESL One Frankfurt 2015
76756078,yammychan,#FF69B4,"","","",,esl_dota2,FailFish,2018-02-24T09:06:36.986+05:30,10:50:34,39034,232108439,NAHAZ so bad FailFish who hire this guy on panel,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
107091300,sansalito,,"","","",,esl_dota2,Kappa,2018-02-24T08:59:46.098+05:30,10:43:43,38623,232108439,Labtop connection confirmed Kappa,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
,,#0000FF,"","","",,esl_dota2,Kappa,2018-01-23T03:48:25.832+05:30,32:46:23,117983,220970949,Kappa,RERUN: Newbee vs. Evil Geniuses - Game 3 - Group A Decider - ESL One Hamburg Major 2017
79969394,slaughterize_,,"","","",,esl_dota2,PogChamp,2018-02-23T02:28:59.522+05:30,28:13:10,101590,231434877,ESL ON TWITCH PogChamp,RERUN: Team Secret vs Planet Dog - Group A Opening Game - ESL One Genting 2018
57159723,andros_dota,#008000,"","","",,esl_dota2,Kappa,2018-09-24T08:38:12.602+05:30,42:47,2567,314094192,"ppl said xxx would regret his face tats when he was older, jokes on them Kappa",LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #9 | esl.gg/anz
77765647,birdy718,#FF0000,"","","",,esl_dota2,Kappa,2018-04-10T10:41:19.001+05:30,50:19,3019,248733912,Kappa,LIVE: ESL AUNZ Championship Playoffs | pro.eslgaming.com/anz
147504251,natooheavytocarry,,"","","",,esl_dota2,PogChamp,2018-02-23T01:45:29.262+05:30,27:29:40,98980,231434877,twitch broken PogChamp,RERUN: Team Secret vs Planet Dog - Group A Opening Game - ESL One Genting 2018
61194854,itsjfx,#DAA520,"","","",,esl_dota2,PogChamp,2018-06-17T01:50:00.514+05:30,1:56:36,6996,274116024,PogChamp,LIVE: ESL AU&NZ Championship Season 1 Finals - Day 3 - Live from Supanova Sydney
128664088,hetbhatt69,,"","","",,esl_dota2,<3,2018-01-22T11:32:17.347+05:30,16:30:14,59414,220970949,<3,RERUN: Newbee vs. Evil Geniuses - Game 3 - Group A Decider - ESL One Hamburg Major 2017
84601212,aprila322,#FF0000,"","","",,esl_dota2,PogChamp,2018-09-11T11:11:16.904+05:30,3:15:48,11748,308662231,PogChamp PogChamp,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #6 | esl.gg/anz
57159723,andros_dota,#008000,"","","",,esl_dota2,BibleThump,2018-07-22T03:34:22.421+05:30,1:22:13,4933,287651696,LY BibleThump,LIVE: #ESLAUNZ Championship 2018 Season 2 - Open Qualifier #1 | pro.eslgaming.com/anz
38253530,watchingtweek,#DAA520,"","","",,esl_dota2,forsenPuke2,2018-02-27T08:12:10.627+05:30,33:55:50,122150,232855094,forsenPuke2,RERUN: Virtus.pro vs. EG - Game 2 - Quarterfinal - ESL One Katowice Major 2018
