i_user_id,i_user_name,i_display_color,i_badge_names,i_badge_titles,i_badge_versions,i_user_status,j_streamer,k_emote_name,t_timestamp,t_time_text,t_seconds,vod_id,chat_message,match_title
88344997,siomairaysuu,#2E8B57,"","","",,esl_dota2,LUL,2018-02-25T08:11:42.289+05:30,33:55:39,122139,232108439,LUL,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
140490336,bringerofsalt,,premium,Prime Gaming,1,,esl_dota2,VoHiYo,2018-02-27T05:38:27.058+05:30,31:22:07,112927,232855094,VoHiYo,RERUN: Virtus.pro vs. EG - Game 2 - Quarterfinal - ESL One Katowice Major 2018
112693053,qnique,,"","","",,esl_dota2,kingof4Criminy,2018-08-05T07:36:09.450+05:30,5:33:55,20035,293255193,kingof4Criminy,ESL AU&NZ Championship - Open Cup #3
92047410,tyr_0,#FF0000,"","","",,esl_dota2,BibleThump,2018-02-22T10:31:31.770+05:30,12:15:42,44142,231434877,but it's on fb BibleThump,RERUN: Team Secret vs Planet Dog - Group A Opening Game - ESL One Genting 2018
135117905,chinaa_numba_wan,#FF0000,"","","",,esl_dota2,xxxLO,2018-02-24T07:10:35.207+05:30,8:54:32,32072,232108439,xxxND xxxPR xxxAI xxxSE xxxSK xxxRO xxxMI xxxGH xxxTY xxxLO,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
37631724,kingfaptor,#192EB3,turbo,Turbo,1,,esl_dota2,godotSpit,2018-09-18T08:42:03.487+05:30,44:25,2665,311589433,godotSpit,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #8 | esl.gg/anz
121306755,bleunv,#FF69B4,"","","",,esl_dota2,MrDestructoid,2018-05-26T11:12:30.420+05:30,44:27:11,160031,264980287,viewbot rollcall MrDestructoid,RERUN: Team Liquid vs. Vici - Game 3 - Semifinal - ESL One Katowice Major 2018
48275388,cosicosi7,#1E90FF,"","","",,esl_dota2,Kappa,2018-09-11T08:16:06.375+05:30,20:37,1237,308662231,yea fox 2-0 sbbpls Kappa,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #6 | esl.gg/anz
,,,"","","",,esl_dota2,SwiftRage,2018-02-24T08:31:27.692+05:30,10:15:24,36924,232108439,Holy crap! ESL there seems to be a game running along side my ads stop this at once! SwiftRage,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
130379157,hijackpot,#1E90FF,"","","",,esl_dota2,DansGame,2018-01-23T04:36:21.176+05:30,33:34:18,120858,220970949,facebook dont have emotes DansGame,RERUN: Newbee vs. Evil Geniuses - Game 3 - Group A Decider - ESL One Hamburg Major 2017
48275388,cosicosi7,#1E90FF,"","","",,esl_dota2,godotMatino,2018-09-18T08:42:11.097+05:30,44:33,2673,311589433,godotMatino PogChamp,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #8 | esl.gg/anz
85006457,ultimattoc,,"","","",,esl_dota2,WutFace,2018-03-20T11:46:25.577+05:30,2:13:24,8004,240772728,this underlord networth WutFace,LIVE: ESL AU&NZ Championship - Open Cup #3
85531370,tofu0828,,"","","",,esl_dota2,<3,2018-03-20T12:04:41.011+05:30,2:31:40,9100,240772728,MnO <3,LIVE: ESL AU&NZ Championship - Open Cup #3
128761515,piztaz,,"","","",,esl_dota2,EleGiggle,2018-01-24T09:06:18.085+05:30,1:19,79,221813658,Never left facebook EleGiggle,RERUN: Team Secret vs. CDEC - Semifinal Game 2 - ESL One New York 2015
110353823,kratem666,,"","","",,esl_dota2,DansGame,2018-06-17T01:42:08.505+05:30,1:48:44,6524,274116024,DansGame,LIVE: ESL AU&NZ Championship Season 1 Finals - Day 3 - Live from Supanova Sydney
60002651,galaxydigger,#8A2BE2,"","","",,esl_dota2,LUL,2018-02-26T06:50:18.341+05:30,8:33:58,30838,232855094,LUL,RERUN: Virtus.pro vs. EG - Game 2 - Quarterfinal - ESL One Katowice Major 2018
30216533,buzirat,#FF0000,"","","",,esl_dota2,PogChamp,2018-05-26T13:03:53.079+05:30,46:18:34,166714,264980287,Kyle? PogChamp,RERUN: Team Liquid vs. Vici - Game 3 - Semifinal - ESL One Katowice Major 2018
100451337,mr_nobodyuchiha,,"","","",,esl_dota2,Kappa,2018-01-23T04:27:57.510+05:30,33:25:54,120354,220970949,WP ESL Kappa,RERUN: Newbee vs. Evil Geniuses - Game 3 - Group A Decider - ESL One Hamburg Major 2017
43507860,ratontheswing,,"","","",,esl_dota2,Jebaited,2018-09-24T09:09:49.487+05:30,1:14:24,4464,314094192,Jebaited,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #9 | esl.gg/anz
89339499,msbeccafae,#0000FF,"","","",,esl_dota2,NotLikeThis,2018-02-25T01:36:54.044+05:30,27:20:51,98451,232108439,Envy talking NotLikeThis,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
141886292,blikenave,#8A2BE2,"","","",,esl_dota2,NotLikeThis,2018-09-11T12:30:53.079+05:30,4:35:24,16524,308662231,NotLikeThis,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #6 | esl.gg/anz
