i_user_id,i_user_name,i_display_color,i_badge_names,i_badge_titles,i_badge_versions,i_user_status,j_streamer,k_emote_name,t_timestamp,t_time_text,t_seconds,vod_id,chat_message,match_title
38253530,watchingtweek,#DAA520,"","","",,esl_dota2,LUL,2018-02-23T11:04:42.892+05:30,36:48:54,132534,231434877,A B LUL D,RERUN: Team Secret vs Planet Dog - Group A Opening Game - ESL One Genting 2018
60322132,jaeger999,#00FF7F,premium,Prime Gaming,1,,esl_dota2,godotSpit,2018-09-11T11:13:28.268+05:30,3:17:59,11879,308662231,godotSpit godotSpit,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #6 | esl.gg/anz
48275388,cosicosi7,#1E90FF,"","","",,esl_dota2,BibleThump,2018-09-18T08:43:21.439+05:30,45:43,2743,311589433,cas BibleThump,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #8 | esl.gg/anz
,,,premium,Prime Gaming,1,,esl_dota2,SoBayed,2018-02-24T08:17:18.948+05:30,10:01:16,36076,232108439,EG fans SoBayed,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
105827514,tridentesports,#008000,partner,Verified,1,,esl_dota2,tridentTrident,2018-04-17T10:32:14.144+05:30,1:04:24,3864,251323997,tridentRaiseyourtrident tridentTrident starlyHey,RERUN: OG vs. Liquid - Game 1 - ESL One Frankfurt 2016 - Semifinal
74944902,nzrain_,,"","","",,esl_dota2,cmonBruh,2018-04-17T12:02:09.409+05:30,2:34:19,9259,251323997,cmonBruh RaiseYourTridents,RERUN: OG vs. Liquid - Game 1 - ESL One Frankfurt 2016 - Semifinal
103196621,the_local_legend,#8A2BE2,"","","",,esl_dota2,BibleThump,2018-07-22T03:34:44.910+05:30,1:22:36,4956,287651696,nose holder wins BibleThump,LIVE: #ESLAUNZ Championship 2018 Season 2 - Open Qualifier #1 | pro.eslgaming.com/anz
121342199,samasoni,#DAA520,"","","",,esl_dota2,NotLikeThis,2018-04-17T11:07:39.437+05:30,1:39:49,5989,251323997,NotLikeThis,RERUN: OG vs. Liquid - Game 1 - ESL One Frankfurt 2016 - Semifinal
61194854,itsjfx,#DAA520,"","","",,esl_dota2,PogChamp,2018-09-03T10:54:14.272+05:30,2:36:31,9391,305305461,karath casting SeemsGood PogChamp,RERUN - Preshow - ESL One Genting 2017
177421830,mantapmania,,"","","",,esl_dota2,WutFace,2018-01-23T04:20:36.646+05:30,33:18:33,119913,220970949,ESL MANILA WutFace,RERUN: Newbee vs. Evil Geniuses - Game 3 - Group A Decider - ESL One Hamburg Major 2017
