i_user_id,i_user_name,i_display_color,i_badge_names,i_badge_titles,i_badge_versions,i_user_status,j_streamer,k_emote_name,t_timestamp,t_time_text,t_seconds,vod_id,chat_message,match_title
130653184,golden_eye,,"","","",,esl_dota2,TriHard,2018-02-23T22:39:32.276+05:30,23:29,1409,232108439,TriHard,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
39661077,boo__boo,#18B46B,"","","",,esl_dota2,godotKouro,2018-09-18T08:11:52.081+05:30,14:14,854,311589433,godotCalvin godotMatino godotFJ godotKouro godotSpit,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #8 | esl.gg/anz
39604336,nickersrulz,#8A2BE2,"","","",,esl_dota2,PogChamp,2018-03-06T09:42:06.483+05:30,1:17:24,4644,235769792,PogChamp,ESL AU&NZ Championship - Open Cup #1
60672287,roshuran,,"","","",,esl_dota2,EleGiggle,2018-03-06T09:57:41.705+05:30,1:32:59,5579,235769792,EleGiggle,ESL AU&NZ Championship - Open Cup #1
50202778,c_dot_gt,#009CCC,premium,Prime Gaming,1,,esl_dota2,doctorPUNK,2018-02-26T00:09:24.276+05:30,1:53:04,6784,232855094,doctorPUNK doctorPUNK doctorPUNK doctorPUNK doctorPUNK doctorPUNK,RERUN: Virtus.pro vs. EG - Game 2 - Quarterfinal - ESL One Katowice Major 2018
48275388,cosicosi7,#1E90FF,"","","",,esl_dota2,4Head,2018-09-17T10:02:07.136+05:30,2:05:36,7536,311210319,Why does everyone ignore me when I ask for the ruleset 4Head,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #7 | esl.gg/anz
182067151,chitstainn,,"","","",,esl_dota2,PogChamp,2018-02-22T10:32:56.254+05:30,12:17:07,44227,231434877,PogChamp,RERUN: Team Secret vs Planet Dog - Group A Opening Game - ESL One Genting 2018
61194854,itsjfx,#DAA520,"","","",,esl_dota2,4Head,2018-06-17T03:19:22.897+05:30,3:25:59,12359,274116024,betting on Australian games and losing 4Head,LIVE: ESL AU&NZ Championship Season 1 Finals - Day 3 - Live from Supanova Sydney
82227890,butchtiki,#FF0000,"","","",,esl_dota2,LUL,2018-02-24T08:15:28.279+05:30,9:59:25,35965,232108439,enjoy your riot when they dont stream game 3 LUL,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
81773185,tschipptschapp,,premium,Prime Gaming,1,,esl_dota2,Kappa,2018-02-25T20:58:56.769+05:30,46:42:53,168173,232108439,"I waited the whole week to watch the games on twitch, please don't spoiler me Kappa",RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
48275388,cosicosi7,#1E90FF,"","","",,esl_dota2,:),2018-08-20T10:06:46.476+05:30,2:04:49,7489,299604674,@Boo__Boo time for partyq so u can prac your brood? :),LIVE: Natural 9 vs. Fox Gaming | ESL AU&NZ Championship 2018
135117905,chinaa_numba_wan,#FF0000,"","","",,esl_dota2,xxxMI,2018-02-24T07:10:35.207+05:30,8:54:32,32072,232108439,xxxND xxxPR xxxAI xxxSE xxxSK xxxRO xxxMI xxxGH xxxTY xxxLO,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
13518523,psychol0gist,#0000FF,"","","",,esl_dota2,LUL,2018-06-17T01:13:32.507+05:30,1:20:08,4808,274116024,LUL,LIVE: ESL AU&NZ Championship Season 1 Finals - Day 3 - Live from Supanova Sydney
29928502,majistoo,#00FF7F,"","","",,esl_dota2,godotKouro,2018-09-18T10:51:37.226+05:30,2:53:59,10439,311589433,godotKouro godotKouro godotKouro godotKouro,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #8 | esl.gg/anz
24859950,sebbie,#1E90FF,partner,Verified,1,,esl_dota2,:o,2018-09-11T11:24:28.918+05:30,3:29:00,12540,308662231,is this your first moba? :o,LIVE: ESL AU&NZ Championship 2018 Season 2 - Matchday #6 | esl.gg/anz
,,,"","","",,esl_dota2,LUL,2018-02-22T10:29:46.700+05:30,12:13:57,44037,231434877,neutral LUL,RERUN: Team Secret vs Planet Dog - Group A Opening Game - ESL One Genting 2018
60672287,roshuran,,"","","",,esl_dota2,PogChamp,2018-03-06T09:28:24.066+05:30,1:03:42,3822,235769792,PogChamp MQ GACS PRIDE PogChamp,ESL AU&NZ Championship - Open Cup #1
98015003,arturs24,#0000FF,"","","",,esl_dota2,LUL,2018-05-26T10:54:10.273+05:30,44:08:51,158931,264980287,LUL,RERUN: Team Liquid vs. Vici - Game 3 - Semifinal - ESL One Katowice Major 2018
57159723,andros_dota,#008000,"","","",,esl_dota2,BibleThump,2018-08-05T04:31:23.911+05:30,2:29:10,8950,293255193,ningy BibleThump,ESL AU&NZ Championship - Open Cup #3
32178518,sas158,#8A2BE2,"","","",,esl_dota2,LUL,2018-07-22T03:24:33.817+05:30,1:12:25,4345,287651696,untamed on no axe LUL,LIVE: #ESLAUNZ Championship 2018 Season 2 - Open Qualifier #1 | pro.eslgaming.com/anz
26923846,noncohesive,#B22222,"","","",,esl_dota2,merliniGameOfThrows,2018-03-20T11:57:48.532+05:30,2:24:47,8687,240772728,merliniGameOfThrows,LIVE: ESL AU&NZ Championship - Open Cup #3
144297240,vespasst,,"","","",,esl_dota2,LUL,2018-01-23T05:54:58.034+05:30,34:52:55,125575,220970949,I was like: wtf? why rosh is here? And then i saw 2016 manilla and like LUL,RERUN: Newbee vs. Evil Geniuses - Game 3 - Group A Decider - ESL One Hamburg Major 2017
204063665,fluxdotes,,"","","",,esl_dota2,PogChamp,2018-04-10T12:34:03.134+05:30,2:43:03,9783,248733912,@BIGHOOKS PogChamp,LIVE: ESL AUNZ Championship Playoffs | pro.eslgaming.com/anz
36539872,sea_mouse,#FF0000,premium,Prime Gaming,1,,esl_dota2,PogChamp,2018-02-24T09:04:17.770+05:30,10:48:14,38894,232108439,PogChamp,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
163404393,sintexu,,"","","",,esl_dota2,:),2018-02-24T09:32:51.805+05:30,11:16:49,40609,232108439,:),RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
62848622,pa6ota_he_bojlk,,"","","",,esl_dota2,LUL,2018-02-24T08:58:49.147+05:30,10:42:46,38566,232108439,LUL,RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
122105269,sleepingterror10,,"","","",,esl_dota2,:),2018-02-24T09:45:44.670+05:30,11:29:41,41381,232108439,Thank you for ads :),RERUN: Newbee vs. LGD - Game 1 LB Semi - Group B - ESL One Katowice Major 2018
77908647,atlasau,#B22222,"","","",,esl_dota2,SoBayed,2018-09-03T12:10:39.930+05:30,3:52:57,13977,305305461,losing to athletico SoBayed,RERUN - Preshow - ESL One Genting 2017
